iter	Logloss
0	0.5968762544
1	0.5227312121
2	0.4665582201
3	0.4234666511
4	0.3914629554
5	0.3673129648
6	0.3500038239
7	0.3314179611
8	0.3188074528
9	0.306392705
10	0.2972998202
11	0.2907644343
12	0.2843974317
13	0.2771355082
14	0.2661613935
15	0.2612299545
16	0.2574775896
17	0.252901687
18	0.2502144459
19	0.2452637423
20	0.2418905073
21	0.2395520933
22	0.2368108998
23	0.2348812436
24	0.2332074201
25	0.231075866
26	0.2296222951
27	0.226969571
28	0.2252199377
29	0.2238759568
30	0.2217487862
31	0.2200420167
32	0.2187007676
33	0.2175965875
34	0.2165967457
35	0.2153052756
36	0.2123011251
37	0.2112911005
38	0.2105043406
39	0.2094570278
40	0.20772999
41	0.2057762354
42	0.2044025016
43	0.2035417317
44	0.2015348805
45	0.2006795644
46	0.1997132985
47	0.1987127566
48	0.1978815482
49	0.196856632
50	0.1962318268
51	0.195163462
52	0.1941133674
53	0.1930092792
54	0.1921304184
55	0.1915427325
56	0.1907886073
57	0.1903728031
58	0.1898023993
59	0.189161574
60	0.1886767297
61	0.1882341989
62	0.1872287553
63	0.1862374765
64	0.1855901393
65	0.1850001478
66	0.1845449488
67	0.1840376356
68	0.1834853738
69	0.1830324756
70	0.1826508488
71	0.1821311656
72	0.1812123418
73	0.1800253906
74	0.1795815572
75	0.1791151929
76	0.1786292481
77	0.178179234
78	0.1778362731
79	0.1774511147
80	0.1770427909
81	0.176513865
82	0.1761673092
83	0.1759004216
84	0.1754081063
85	0.1747572787
86	0.1743343074
87	0.1740977925
88	0.1736911213
89	0.1733903696
90	0.1728099073
91	0.1724660753
92	0.1720940284
93	0.1715681618
94	0.1712549004
95	0.170733534
96	0.1704233026
97	0.1697122064
98	0.1693081144
99	0.1690729679
100	0.1687780656
101	0.1684838767
102	0.1679653823
103	0.1673232157
104	0.1669129904
105	0.1667712006
106	0.1662492873
107	0.166008041
108	0.1657512921
109	0.1655084505
110	0.1652465898
111	0.1649935148
112	0.1647374697
113	0.1645470045
114	0.1642524336
115	0.1641270359
116	0.1638595473
117	0.163528661
118	0.1633079662
119	0.1631598702
120	0.1629128892
121	0.1627202141
122	0.1621904324
123	0.1619079766
124	0.1615238371
125	0.1612944185
126	0.1609675939
127	0.1607257809
128	0.1605570543
129	0.1603101382
130	0.160023397
131	0.1598596405
132	0.1596929006
133	0.1594574201
134	0.1592692309
135	0.1587591057
136	0.1585589978
137	0.1584006342
138	0.1582729421
139	0.1581067376
140	0.157873625
141	0.1575203998
142	0.1572136089
143	0.157104383
144	0.1569790761
145	0.1567732201
146	0.1566192906
147	0.156476584
148	0.1563447738
149	0.1561828723
150	0.1560206453
151	0.155886044
152	0.1555443883
153	0.1553748542
154	0.1552201816
155	0.155079301
156	0.1549501233
157	0.1548340754
158	0.1546502725
159	0.1543178584
160	0.15417583
161	0.1540775333
162	0.1538109048
163	0.1534403283
164	0.1533097643
165	0.1531956936
166	0.1529152614
167	0.1527981505
168	0.1526683963
169	0.1525293309
170	0.1524235317
171	0.1523095708
172	0.1521559714
173	0.1520192102
174	0.1516943423
175	0.1515564156
176	0.1514090497
177	0.1513060641
178	0.1512066269
179	0.1510749923
180	0.1508952276
181	0.1507467729
182	0.1506076134
183	0.1504741503
184	0.1503576899
185	0.1501379729
186	0.1500696152
187	0.1499532317
188	0.1498669651
189	0.1497457437
190	0.1496118906
191	0.1495320008
192	0.1494391382
193	0.1493492227
194	0.1490918988
195	0.1489958061
196	0.1489081881
197	0.1488163416
198	0.1486466907
199	0.1485392657
